[2024-04-11T15:43:53.236+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-04-11T15:43:53.380+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Process_W3_Data.BuildDimDate manual__2024-04-11T15:43:12.323315+00:00 [queued]>
[2024-04-11T15:43:53.431+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Process_W3_Data.BuildDimDate manual__2024-04-11T15:43:12.323315+00:00 [queued]>
[2024-04-11T15:43:53.431+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-04-11T15:43:53.516+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): BuildDimDate> on 2024-04-11 15:43:12.323315+00:00
[2024-04-11T15:43:53.550+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=21754) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-04-11T15:43:53.566+0000] {standard_task_runner.py:63} INFO - Started process 21765 to run task
[2024-04-11T15:43:53.579+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'Process_W3_Data', 'BuildDimDate', 'manual__2024-04-11T15:43:12.323315+00:00', '--job-id', '100', '--raw', '--subdir', 'DAGS_FOLDER/w3c.py', '--cfg-path', '/tmp/tmpanln0gus']
[2024-04-11T15:43:53.597+0000] {standard_task_runner.py:91} INFO - Job 100: Subtask BuildDimDate
[2024-04-11T15:43:53.891+0000] {task_command.py:426} INFO - Running <TaskInstance: Process_W3_Data.BuildDimDate manual__2024-04-11T15:43:12.323315+00:00 [running]> on host 426f0b9f9d71
[2024-04-11T15:43:54.196+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Process_W3_Data' AIRFLOW_CTX_TASK_ID='BuildDimDate' AIRFLOW_CTX_EXECUTION_DATE='2024-04-11T15:43:12.323315+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-11T15:43:12.323315+00:00'
[2024-04-11T15:43:54.199+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-04-11T15:43:54.230+0000] {logging_mixin.py:188} INFO - 2010-03-22
[2024-04-11T15:43:54.231+0000] {logging_mixin.py:188} INFO - 2010-04-06
[2024-04-11T15:43:54.231+0000] {logging_mixin.py:188} INFO - 2010-04-19
[2024-04-11T15:43:54.234+0000] {logging_mixin.py:188} INFO - 2010-04-22
[2024-04-11T15:43:54.235+0000] {logging_mixin.py:188} INFO - 2010-04-23
[2024-04-11T15:43:54.235+0000] {logging_mixin.py:188} INFO - 2010-04-24
[2024-04-11T15:43:54.236+0000] {logging_mixin.py:188} INFO - 2010-04-25
[2024-04-11T15:43:54.236+0000] {logging_mixin.py:188} INFO - 2010-04-30
[2024-04-11T15:43:54.236+0000] {logging_mixin.py:188} INFO - 2010-05-19
[2024-04-11T15:43:54.237+0000] {logging_mixin.py:188} INFO - 2010-05-20
[2024-04-11T15:43:54.237+0000] {logging_mixin.py:188} INFO - 2010-05-26
[2024-04-11T15:43:54.238+0000] {logging_mixin.py:188} INFO - 2010-05-28
[2024-04-11T15:43:54.238+0000] {logging_mixin.py:188} INFO - 2010-06-12
[2024-04-11T15:43:54.238+0000] {logging_mixin.py:188} INFO - 2010-06-15
[2024-04-11T15:43:54.239+0000] {logging_mixin.py:188} INFO - 2010-06-19
[2024-04-11T15:43:54.239+0000] {logging_mixin.py:188} INFO - 2010-06-22
[2024-04-11T15:43:54.240+0000] {logging_mixin.py:188} INFO - 2010-06-26
[2024-04-11T15:43:54.240+0000] {logging_mixin.py:188} INFO - 2010-06-28
[2024-04-11T15:43:54.240+0000] {logging_mixin.py:188} INFO - 2010-06-29
[2024-04-11T15:43:54.241+0000] {logging_mixin.py:188} INFO - 2010-06-30
[2024-04-11T15:43:54.241+0000] {logging_mixin.py:188} INFO - 2010-07-05
[2024-04-11T15:43:54.242+0000] {logging_mixin.py:188} INFO - 2010-07-08
[2024-04-11T15:43:54.242+0000] {logging_mixin.py:188} INFO - 2010-07-14
[2024-04-11T15:43:54.242+0000] {logging_mixin.py:188} INFO - 2010-10-31
[2024-04-11T15:43:54.243+0000] {logging_mixin.py:188} INFO - Date
[2024-04-11T15:43:54.243+0000] {logging_mixin.py:188} INFO - Error with Date
[2024-04-11T15:43:54.244+0000] {python.py:237} INFO - Done. Returned value was: None
[2024-04-11T15:43:54.245+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-04-11T15:43:54.269+0000] {taskinstance.py:1205} INFO - Marking task as SUCCESS. dag_id=Process_W3_Data, task_id=BuildDimDate, execution_date=20240411T154312, start_date=20240411T154353, end_date=20240411T154354
[2024-04-11T15:43:54.372+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-04-11T15:43:54.540+0000] {taskinstance.py:3482} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2024-04-11T15:43:54.552+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
